식품명,식품대분류명,영양성분함량기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),식품기원명
국수_비빔국수,면 및 만두류,100g,102,20.47,3.01,0.95,239,가정식(분석 함량)
국수_잔치국수,면 및 만두류,100g,44,8.05,1.93,0.49,216,가정식(분석 함량)
국수_쟁반막국수,면 및 만두류,100g,119,12.81,6.68,4.56,513,가정식(분석 함량)
냉면_물냉면,면 및 만두류,100g,55,10.31,1.96,0.64,161,가정식(분석 함량)
냉면_비빔냉면,면 및 만두류,100g,100,13.35,5.67,2.64,177,가정식(분석 함량)
냉면_회냉면_홍어,면 및 만두류,100g,148,22.21,5.81,4.02,99,가정식(분석 함량)
떡국,면 및 만두류,100g,84,16.37,3.43,0.53,176,가정식(분석 함량)
떡만두국,면 및 만두류,100g,111,15.47,3.53,3.91,206,가정식(분석 함량)
라면,면 및 만두류,100g,82,13.65,1.72,2.28,283,가정식(분석 함량)
라면_달걀,면 및 만두류,100g,108,17.33,2.61,3.18,183,가정식(분석 함량)
라면_떡,면 및 만두류,100g,96,15.27,2.04,2.92,270,가정식(분석 함량)
만두_고기만두,면 및 만두류,100g,159,17.40,12.38,4.45,206,가정식(분석 함량)
만두_군만두,면 및 만두류,100g,234,25.57,7.03,11.50,385,가정식(분석 함량)
만두_김치만두,면 및 만두류,100g,152,17.02,10.24,4.76,393,가정식(분석 함량)
만두_물만두,면 및 만두류,100g,195,15.61,8.06,11.13,332,가정식(분석 함량)
만두국_사골,면 및 만두류,100g,87,8.94,3.74,4.00,333,가정식(분석 함량)
메밀국수_온면,면 및 만두류,100g,63,12.06,3.14,0.29,194,가정식(분석 함량)
수제비,면 및 만두류,100g,58,11.08,2.31,0.52,142,가정식(분석 함량)
스파게티_미트볼,면 및 만두류,100g,180,17.62,7.34,8.88,218,가정식(분석 함량)
우동_일식,면 및 만두류,100g,158,30.48,1.78,3.22,157,가정식(분석 함량)
우동볶음,면 및 만두류,100g,128,24.79,2.80,2.01,257,가정식(분석 함량)
월남쌈,면 및 만두류,100g,118,12.25,5.94,4.97,230,가정식(분석 함량)
자장면,면 및 만두류,100g,88,14.37,2.69,2.22,307,가정식(분석 함량)
짬뽕,면 및 만두류,100g,58,8.26,2.79,1.54,181,가정식(분석 함량)
쫄면,면 및 만두류,100g,129,23.26,3.21,2.52,250,가정식(분석 함량)
칼국수,면 및 만두류,100g,77,14.90,3.30,0.49,220,가정식(분석 함량)
칼국수_바지락,면 및 만두류,100g,82,15.97,3.43,0.53,272,가정식(분석 함량)
콩국수,면 및 만두류,100g,81,8.92,3.90,3.35,67,가정식(분석 함량)
닭죽,죽 및 스프류,100g,44,7.14,2.68,0.57,117,가정식(분석 함량)
스프_양송이버섯,죽 및 스프류,100g,105,8.06,2.41,7.04,170,가정식(분석 함량)
오리죽,죽 및 스프류,100g,155,19.95,7.50,4.99,62,가정식(분석 함량)
전복죽,죽 및 스프류,100g,79,9.62,1.82,3.73,158,가정식(분석 함량)
채소죽,죽 및 스프류,100g,43,7.62,1.69,0.69,224,가정식(분석 함량)
팥죽,죽 및 스프류,100g,81,16.66,3.17,0.19,127,가정식(분석 함량)
호박죽,죽 및 스프류,100g,49,6.58,1.93,1.71,42,가정식(분석 함량)
흑임자 죽,죽 및 스프류,100g,61,3.64,1.10,4.73,159,가정식(분석 함량)
갈비탕,국 및 탕류,100g,54,0.40,8.51,2.06,199,가정식(분석 함량)
감자국,국 및 탕류,100g,21,3.67,0.90,0.26,215,가정식(분석 함량)
곰탕,국 및 탕류,100g,24,0.11,3.43,1.12,124,가정식(분석 함량)
곰탕_우거지,국 및 탕류,100g,25,2.60,2.37,0.60,225,가정식(분석 함량)
굴국_무,국 및 탕류,100g,25,2.93,2.41,0.36,251,가정식(분석 함량)
