식품명,식품대분류명,영양성분함량기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),식품기원명
기타차_자몽 블랙 프룻티 핫(HOT),음료 및 차류,100g,52,,0.15,,5,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_자몽 자스민티 아이스(ICED) (J),음료 및 차류,100ml,13,,0.00,,5,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_자몽 자스민티 아이스(ICED) (L),음료 및 차류,100ml,13,,0.00,,5,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_자몽 자스민티 핫(HOT) (J),음료 및 차류,100ml,17,,0.00,,6,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_자몽 자스민티 핫(HOT) (L),음료 및 차류,100ml,15,,0.00,,5,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_저칼로리 망고 캐모마일티 제로슈거 (Venti),음료 및 차류,100ml,5,,0.05,,6,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_저칼로리 콜라겐 퀸즈베리 히비스커스티 노슈거 (Venti),음료 및 차류,100ml,9,,0.24,,2,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_저칼로리 퀸즈베리 히비스커스티 노슈거 (Tall),음료 및 차류,100ml,8,,0.05,,2,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제로칼로리 깔라만시 캐모마일티 (Venti),음료 및 차류,100ml,2,,0.04,,5,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제로칼로리 레몬 블랙티 제로슈거 (Venti),음료 및 차류,100ml,2,,0.05,,4,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제로칼로리 복숭아 아이스티 노슈거 (초대용량),음료 및 차류,100ml,1,,0.07,,2,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제로칼로리 청사과 캐모마일티 제로슈거 (Venti),음료 및 차류,100ml,2,,0.02,,28,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제로칼로리 청포도 캐모마일티 제로슈거 (Venti),음료 및 차류,100ml,3,,0.03,,6,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제로칼로리 청포도 캐모마일티 제로슈거 (초대용량),음료 및 차류,100ml,3,,0.03,,6,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제주 레몬 애플티 아이스(ICED),음료 및 차류,100ml,64,,0.00,,40,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제주 레몬 애플티 핫(HOT),음료 및 차류,100ml,64,,0.00,,40,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_제주 한라봉차 핫(HOT),음료 및 차류,100ml,46,,0.12,,10,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_진저 배 티 아이스(ICED),음료 및 차류,100ml,33,,0.21,,12,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_진저 배 티 핫(HOT),음료 및 차류,100ml,41,,0.00,,16,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_청포도 자스민티 아이스(ICED) (J),음료 및 차류,100ml,20,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_청포도 자스민티 아이스(ICED) (L),음료 및 차류,100ml,21,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_청포도 자스민티 핫(HOT) (J),음료 및 차류,100ml,28,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_청포도 자스민티 핫(HOT) (L),음료 및 차류,100ml,24,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_트로피칼 후르츠티 아이스(ICED),음료 및 차류,100ml,11,,0.01,,0,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_트로피칼 후르츠티 핫(HOT),음료 및 차류,100ml,14,,0.02,,1,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_패션 프룻 히비스커스 아이스(ICED) (J),음료 및 차류,100ml,20,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_패션 프룻 히비스커스 아이스(ICED) (L),음료 및 차류,100ml,21,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_패션 프룻 히비스커스 핫(HOT) (J),음료 및 차류,100ml,27,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_패션 프룻 히비스커스 핫(HOT) (L),음료 및 차류,100ml,24,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_피치 보이 아이스(ICED),음료 및 차류,100ml,0,,11.44,,3,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_피치 보이 핫(HOT),음료 및 차류,100ml,0,,11.44,,3,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_피치 아삭 오로라티,음료 및 차류,100g,50,,0.06,,3,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_피치우롱스위티 아이스(ICED),음료 및 차류,100ml,21,,0.14,,1,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_피치우롱스위티 핫(HOT),음료 및 차류,100ml,32,,0.21,,1,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_핑크 리치 프룻티,음료 및 차류,100g,51,,0.04,,10,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_핑크 파인 캐모마일티,음료 및 차류,100ml,52,,0.00,,4,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_한라봉 티 핫(HOT),음료 및 차류,100ml,45,,0.13,,1,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_한라봉차 아이스(ICED),음료 및 차류,100ml,46,,0.12,,10,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_허니 캐모마일 아이스(ICED),음료 및 차류,100ml,1,,0.00,,3,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_허니 캐모마일 핫(HOT),음료 및 차류,100ml,1,,0.00,,3,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_히비스커스 유자티 아이스(ICED),음료 및 차류,100ml,38,,0.02,,4,외식(프랜차이즈 등 업체 제공 영양정보)
기타차_히비스커스 유자티 핫(HOT),음료 및 차류,100ml,48,,0.06,,6,외식(프랜차이즈 등 업체 제공 영양정보)
꿀차_꿀과실차 대추,음료 및 차류,100g,22,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
꿀차_꿀과실차 레몬,음료 및 차류,100g,21,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
꿀차_꿀과실차 모과,음료 및 차류,100g,22,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
꿀차_꿀과실차 생강,음료 및 차류,100g,23,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
꿀차_꿀과실차 유자,음료 및 차류,100g,21,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
꿀차_꿀과실차 자몽,음료 및 차류,100g,22,,0.08,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_그린티 아이스(ICED),음료 및 차류,100g,0,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_녹차 아이스(ICED),음료 및 차류,100g,0,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_녹차 핫(HOT),음료 및 차류,100g,0,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_녹차,음료 및 차류,100g,0,,0.03,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_자스민 그린티 아이스(ICED) (J),음료 및 차류,100g,2,,0.15,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_자스민 그린티 아이스(ICED) (L),음료 및 차류,100g,2,,0.21,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_자스민 그린티 핫(HOT) (J),음료 및 차류,100g,2,,0.21,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_자스민 그린티 핫(HOT) (L),음료 및 차류,100g,2,,0.24,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_제주 유기 녹차 아이스(ICED) (Tall),음료 및 차류,100g,0,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_제주 유기 녹차 핫(HOT) (Tall),음료 및 차류,100g,0,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_제주유기농녹차 아이스(ICED) (L),음료 및 차류,100g,1,,0.21,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_제주유기농녹차 핫(HOT) (L),음료 및 차류,100g,0,,0.00,,2,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_프레시그린티 아이스(ICED),음료 및 차류,100g,1,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_프레시그린티 핫(HOT),음료 및 차류,100g,1,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_프루티 하동 핫(HOT) (L),음료 및 차류,100g,1,,0.00,,,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_그린티 아이스(ICED) (R),음료 및 차류,100g,2,,0.19,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_그린티 핫(HOT) (R),음료 및 차류,100g,1,,0.11,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_하동 녹차 아이스(ICED),음료 및 차류,100g,0,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_하동 녹차 핫(HOT),음료 및 차류,100g,0,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_그린티,음료 및 차류,100ml,0,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_녹차 아이스(ICED),음료 및 차류,100ml,0,0.00,0.04,0.00,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_녹차 아이스(ICED),음료 및 차류,100g,0,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_녹차 핫(HOT),음료 및 차류,100ml,0,0.00,0.03,0.00,1,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_녹차 핫(HOT),음료 및 차류,100g,1,,0.00,,0,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_자스민 그린티 아이스(ICED),음료 및 차류,100g,4,,0.03,,1,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_자스민 그린티 핫(HOT),음료 및 차류,100g,6,,0.05,,1,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_프루티 하동 아이스(ICED) (L),음료 및 차류,100g,1,,0.00,,6,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_해남 녹차 아이스(ICED),음료 및 차류,100ml,1,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
녹차_해남 녹차 핫(HOT),음료 및 차류,100ml,1,,0.00,,1,외식(프랜차이즈 등 업체 제공 영양정보)
대추차_사과 대추차,음료 및 차류,100g,30,,0.00,,3,외식(프랜차이즈 등 업체 제공 영양정보)
대추차_대추차 아이스(ICED) (L),음료 및 차류,100g,53,,0.00,,5,외식(프랜차이즈 등 업체 제공 영양정보)
대추차_대추차 아이스(ICED) (M),음료 및 차류,100g,56,,0.00,,5,외식(프랜차이즈 등 업체 제공 영양정보)
대추차_대추차 핫(HOT) (L),음료 및 차류,100g,53,,0.00,,5,외식(프랜차이즈 등 업체 제공 영양정보)
대추차_대추차 핫(HOT) (M),음료 및 차류,100g,56,,0.00,,5,외식(프랜차이즈 등 업체 제공 영양정보)
대추차_대추차 아이스(ICED),음료 및 차류,100ml,37,,0.14,,0,외식(프랜차이즈 등 업체 제공 영양정보)
대추차_대추차 핫(HOT),음료 및 차류,100ml,44,,0.21,,1,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_검은콩 라떼 아이스(ICED),음료 및 차류,100g,56,,2.82,,28,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_검은콩 라떼 핫(HOT),음료 및 차류,100g,63,,3.38,,34,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED) (L),음료 및 차류,100g,77,,1.33,,10,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED) (R),음료 및 차류,100g,75,,1.39,,11,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED),음료 및 차류,100g,54,,1.39,,22,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED),음료 및 차류,100g,81,,1.69,,24,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT) (L),음료 및 차류,100g,105,,2.22,,19,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT) (R),음료 및 차류,100g,103,,2.22,,20,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT),음료 및 차류,100g,72,,1.39,,22,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT),음료 및 차류,100g,88,,1.82,,26,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED) (R),음료 및 차류,100g,71,,1.45,,22,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED) (L),음료 및 차류,100g,73,,1.28,,19,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED) (L),음료 및 차류,100g,78,,1.48,,23,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED) (R),음료 및 차류,100g,52,,0.94,,14,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 아이스(ICED),음료 및 차류,100g,58,,2.82,,28,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT) (L),음료 및 차류,100g,118,,2.50,,38,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT) (L),음료 및 차류,100g,88,,1.90,,30,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT) (R),음료 및 차류,100g,109,,2.11,,32,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT) (R),음료 및 차류,100g,92,,1.97,,30,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼 핫(HOT),음료 및 차류,100g,61,,3.10,,31,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_고구마 라떼,음료 및 차류,100g,74,13.40,1.24,1.68,30,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_곶감 라떼 아이스(ICED),음료 및 차류,100g,48,,2.25,,23,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_곶감 라떼 핫(HOT),음료 및 차류,100g,52,,2.25,,25,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_군고구마 라떼 핫(HOT),음료 및 차류,100g,121,18.37,3.26,3.72,117,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_군고구마 라떼 아이스(ICED),음료 및 차류,100g,97,15.96,2.34,2.77,97,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_귀리 미숫가루 라떼,음료 및 차류,100g,73,,2.15,1.35,43,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린 라떼 아이스(ICED),음료 및 차류,100g,54,7.80,1.46,1.95,22,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린 라떼,음료 및 차류,100g,90,10.97,2.90,3.87,55,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린민트 초콜릿 아이스(ICED),음료 및 차류,100g,88,11.22,1.71,4.15,44,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린민트 초콜릿 핫(HOT),음료 및 차류,100g,140,16.45,3.23,6.77,77,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED),음료 및 차류,100g,66,,1.67,,28,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED),음료 및 차류,100g,52,,0.72,,27,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 핫(HOT),음료 및 차류,100g,93,,2.50,,41,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED) (L),음료 및 차류,100g,63,,1.53,,23,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED) (L),음료 및 차류,100g,66,,1.48,,27,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED) (Max),음료 및 차류,100g,62,,1.35,,25,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED) (R),음료 및 차류,100g,56,,1.32,,19,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED) (R),음료 및 차류,100g,58,,1.21,,23,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED),음료 및 차류,100g,59,,2.54,,28,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 아이스(ICED),음료 및 차류,100g,56,,1.69,,26,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 핫(HOT) (L),음료 및 차류,100g,71,,2.54,,34,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 핫(HOT) (R),음료 및 차류,100g,77,,2.82,,37,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 핫(HOT),음료 및 차류,100g,65,,3.10,,34,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_그린티 라떼 핫(HOT),음료 및 차류,100g,73,,2.54,,39,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_꿀 딸기 라떼,음료 및 차류,100g,49,,1.18,,13,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_꿀 망고 라떼,음료 및 차류,100g,57,,0.84,,16,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_꿀 복숭아 라떼,음료 및 차류,100g,54,,0.84,,15,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_꿀 자몽 라떼,음료 및 차류,100g,66,,0.84,,13,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_꿀호떡 in절미 라떼,음료 및 차류,100g,70,,1.67,,28,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_꿀호떡 in절미 크림라떼,음료 및 차류,100g,82,,1.46,,24,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_꿀호떡 밀크폼 버블라떼,음료 및 차류,100g,57,,1.04,,18,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_낭만 달고나 라떼 아이스(ICED),음료 및 차류,100g,102,,1.25,,39,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_낭만 달고나 라떼 핫(HOT),음료 및 차류,100g,110,,1.25,,43,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_녹차 라떼 아이스(ICED),음료 및 차류,100g,48,,1.45,,26,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_녹차 라떼 핫(HOT),음료 및 차류,100g,51,,1.56,,28,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_녹차 라떼 핫(HOT) (L),음료 및 차류,100g,95,,2.91,,45,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_녹차 라떼 핫(HOT) (R),음료 및 차류,100g,93,,2.93,,46,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_녹차 라떼,음료 및 차류,100g,57,9.61,1.59,1.40,23,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_다크 쇼콜라 아이스(ICED),음료 및 차류,100g,77,,1.83,,48,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_다크 쇼콜라 핫(HOT),음료 및 차류,100g,101,,3.08,,69,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_단호박 라떼 아이스(ICED),음료 및 차류,100g,54,,2.82,,28,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_단호박 라떼 핫(HOT),음료 및 차류,100g,58,,3.10,,31,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_달고나 크림밀크 아이스(ICED),음료 및 차류,100g,176,,1.48,,270,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_달고나 라떼 아이스(ICED),음료 및 차류,100g,64,,1.45,,30,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_달고나 라떼 핫(HOT),음료 및 차류,100g,67,,1.45,,33,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_달콤 구름 라떼,음료 및 차류,100g,44,,1.20,,31,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_더블 토피넛 라떼 아이스(ICED),음료 및 차류,100g,113,,1.45,,59,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_더블 토피넛 라떼 핫(HOT),음료 및 차류,100g,123,,1.93,,67,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_도넛파티 라떼,음료 및 차류,100g,181,,2.03,,13,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_딸기 (L),음료 및 차류,100g,61,,0.93,,15,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_딸기 (R),음료 및 차류,100g,56,,1.19,,19,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_딸기 그린티 라떼,음료 및 차류,100g,60,,1.93,,26,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_딸기 라떼 (R),음료 및 차류,100g,71,,1.63,0.72,22,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_딸기 초코 라떼,음료 및 차류,100g,80,,2.17,,40,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_딸기 라떼 아이스(ICED),음료 및 차류,100g,50,9.80,1.00,,15,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_딸기 라떼,음료 및 차류,100g,48,,2.50,,24,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_딸기 라떼,음료 및 차류,100g,65,9.87,1.36,2.21,14,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_로얄 밀크티 라떼 아이스(ICED),음료 및 차류,100g,43,,1.12,,12,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_로얄 밀크티 라떼 핫(HOT),음료 및 차류,100g,39,,1.40,,14,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_리얼 단호박 라떼,음료 및 차류,100g,68,8.77,4.00,2.00,62,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_리얼 홍시라떼,음료 및 차류,100g,96,,0.83,,16,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_리얼프리미엄 모카 (L),음료 및 차류,100g,168,,3.00,,51,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_리얼프리미엄 모카 (R),음료 및 차류,100g,169,,2.92,,48,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_리얼프리미엄 바닐라 (L),음료 및 차류,100g,143,,3.15,,72,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_리얼프리미엄 바닐라 (R),음료 및 차류,100g,139,,2.68,,66,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_리얼프리미엄 초코 (L),음료 및 차류,100g,159,,3.75,,43,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_리얼프리미엄 초코 (R),음료 및 차류,100g,159,,3.75,,43,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_마카롱파티 라떼,음료 및 차류,100g,229,,2.54,,17,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_말차베리 라떼,음료 및 차류,100g,75,,1.89,0.49,23,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_망고라떼,음료 및 차류,100g,49,,1.39,,23,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_머스캣 밀크티 라떼 아이스(ICED) (L),음료 및 차류,100g,46,,1.56,,16,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_머스캣 밀크티 라떼 아이스(ICED) (R),음료 및 차류,100g,46,,1.67,,16,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_머스캣 밀크티 라떼 핫(HOT) (L),음료 및 차류,100g,67,,2.22,,29,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_머스캣 밀크티 라떼 핫(HOT) (R),음료 및 차류,100g,67,,2.22,,29,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_메가초코 라떼 아이스(ICED),음료 및 차류,100g,67,,1.27,,26,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_메가초코 라떼 핫(HOT),음료 및 차류,100g,86,,2.01,,37,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트 초콜릿 아이스(ICED),음료 및 차류,100g,74,,2.41,,43,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트 초콜릿 핫(HOT),음료 및 차류,100g,80,,2.60,,46,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 아이스(ICED) (L),음료 및 차류,100g,84,,1.45,,30,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 아이스(ICED) (R),음료 및 차류,100g,74,,1.20,,27,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 핫(HOT) (L),음료 및 차류,100g,118,,2.59,,50,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 핫(HOT) (R),음료 및 차류,100g,132,,2.84,,57,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 아이스(ICED),음료 및 차류,100g,89,,1.41,,41,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 핫(HOT),음료 및 차류,100g,118,,2.54,,63,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 아이스(ICED),음료 및 차류,100g,71,,1.86,,30,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 아이스(ICED),음료 및 차류,100g,109,17.10,2.33,,40,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 아이스(ICED),음료 및 차류,100g,70,,2.82,,34,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 핫(HOT),음료 및 차류,100g,127,,3.38,,58,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 핫(HOT),음료 및 차류,100g,84,13.90,1.57,,25,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초코 라떼 핫(HOT),음료 및 차류,100g,77,,3.38,,40,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초콜릿 아이스(ICED),음료 및 차류,100g,84,,1.58,,32,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트초콜릿 핫(HOT),음료 및 차류,100g,90,,2.07,,40,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트크림초코 라떼 아이스(ICED),음료 및 차류,100g,60,,1.18,,18,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트크림초코 라떼 핫(HOT),음료 및 차류,100g,67,,1.57,,22,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_민트크림초코,음료 및 차류,100g,67,10.50,1.25,2.17,31,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_밀크티 라떼 아이스(ICED),음료 및 차류,100g,66,,1.67,,28,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_밀크티 버블 라떼 (L),음료 및 차류,100g,67,,1.11,,15,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_밀크티 브라운 슈가 버블 라떼 (R),음료 및 차류,100g,80,,1.11,,15,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_밀크티 라떼 아이스(ICED),음료 및 차류,100g,56,,1.69,,27,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_밀크티 라떼 핫(HOT),음료 및 차류,100g,90,,2.50,,37,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_밀크티 라떼 핫(HOT),음료 및 차류,100g,72,,2.54,,40,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_밀크티,음료 및 차류,100g,61,9.47,1.65,1.83,16,외식(프랜차이즈 등 업체 제공 영양정보)
라떼_밀크폼 그린티 버블 라떼,음료 및 차류,100g,64,,1.04,,18,외식(프랜차이즈 등 업체 제공 영양정보)
